Date,Open,High,Low,Close,Adj Close,Volume
2022-05-27,0.380534,0.383710,0.356881,0.359436,0.359436,143781836
2022-05-28,0.363801,0.371192,0.356186,0.367572,0.367572,103254390
2022-05-29,0.367530,0.379042,0.353815,0.378340,0.378340,95337248
2022-05-30,0.378320,0.422269,0.377185,0.419739,0.419739,135622112
2022-05-31,0.419760,0.423500,0.397276,0.410460,0.410460,160903066
2022-06-01,0.410582,0.424934,0.376770,0.385055,0.385055,198214668
2022-06-02,0.384948,0.396522,0.377452,0.395174,0.395174,108089382
2022-06-03,0.395138,0.396291,0.372776,0.381196,0.381196,87997071
2022-06-04,0.381263,0.389987,0.368090,0.388092,0.388092,72933964
2022-06-05,0.388099,0.402010,0.380240,0.391206,0.391206,98276525
2022-06-06,0.391341,0.423580,0.391341,0.413006,0.413006,109510773
2022-06-07,0.412967,0.412967,0.378087,0.399314,0.399314,107880888
2022-06-08,0.399351,0.429945,0.399193,0.416912,0.416912,171881992
2022-06-09,0.416925,0.417459,0.401194,0.403783,0.403783,153734204
2022-06-10,0.403731,0.404194,0.367551,0.368867,0.368867,113984357
2022-06-11,0.368865,0.379111,0.339048,0.346932,0.346932,103773596
2022-06-12,0.347146,0.351098,0.324977,0.326955,0.326955,108432943
2022-06-13,0.326762,0.327332,0.289095,0.302071,0.302071,235772438
2022-06-14,0.302153,0.309600,0.283229,0.308923,0.308923,181406715
2022-06-15,0.308873,0.340147,0.279219,0.339403,0.339403,238594693
2022-06-16,0.339466,0.343127,0.296947,0.301162,0.301162,129853331
2022-06-17,0.301282,0.316606,0.299409,0.310413,0.310413,84051417
2022-06-18,0.310343,0.314066,0.276489,0.295910,0.295910,109765578
2022-06-19,0.295701,0.317804,0.285595,0.314557,0.314557,106912096
2022-06-20,0.314548,0.326200,0.302458,0.319786,0.319786,95398833
2022-06-21,0.319685,0.342518,0.315731,0.324610,0.324610,111643822
2022-06-22,0.324843,0.330913,0.312948,0.313972,0.313972,89396256
2022-06-23,0.313982,0.336868,0.313422,0.336137,0.336137,83028157
2022-06-24,0.336030,0.357424,0.335648,0.350556,0.350556,105834579
2022-06-25,0.350541,0.356614,0.335863,0.351128,0.351128,79926291
2022-06-26,0.351030,0.358990,0.332227,0.332298,0.332298,77802998
2022-06-27,0.332284,0.345222,0.325759,0.329622,0.329622,74703461
2022-06-28,0.329591,0.336814,0.311303,0.312360,0.312360,80242787
2022-06-29,0.312429,0.316256,0.295999,0.298932,0.298932,89771813
2022-06-30,0.299038,0.315936,0.284208,0.314742,0.314742,141724278
2022-07-01,0.315050,0.321542,0.300516,0.303807,0.303807,110957489
2022-07-02,0.303992,0.311027,0.299997,0.310747,0.310747,96914864
